interaction_id,run_interaction_id,mode,ok,http_status,error,idempotency_key,shadow_id,response_file
cll_06DEYZT33XZSBC9DNBH9W72PVC,cll_06DEYZT33XZSBC9DNBH9W72PVC,none,true,,,,,
cll_06DEYZXH7DRVV6DTZ04VW9HAF0,cll_06DEYZXH7DRVV6DTZ04VW9HAF0,none,true,,,,,
cll_06DFAKDJ01XEXE3NECHK81W7XW,cll_06DFAKDJ01XEXE3NECHK81W7XW,none,true,,,,,
cll_06DFW8NJG5SG90SSW03TTSEWZM,cll_06DFW8NJG5SG90SSW03TTSEWZM,none,true,,,,,
cll_06DFW9XWPDSS3972ZW09RJCT5R,cll_06DFW9XWPDSS3972ZW09RJCT5R,none,true,,,,,
cll_06DFWH1J61ZZ348K62J58EZ0WC,cll_06DFWH1J61ZZ348K62J58EZ0WC,none,true,,,,,
cll_06DFWWGDC1SS738KG486YKHM1W,cll_06DFWWGDC1SS738KG486YKHM1W,none,true,,,,,
cll_06DFWX6DQNYKF4QE46STT6BHZW,cll_06DFWX6DQNYKF4QE46STT6BHZW,none,true,,,,,
cll_06DFWYKYQSW9XASM4M16CAJC80,cll_06DFWYKYQSW9XASM4M16CAJC80,none,true,,,,,
cll_06DFWYV90DSTZ6351E3CEPHQ70,cll_06DFWYV90DSTZ6351E3CEPHQ70,none,true,,,,,
